Company,Sector,What They Do,Funding (approx.),Stage,Key Investors,Competitive Advantage
Practo,Telemedicine,"Doctor discovery, e-consults, practice-management SaaS",~$231M,Series D,"Peak XV (Sequoia India), Tencent, Z47 (Matrix)",Only profitable major player; dual B2C + B2B SaaS; 300M+ patient base
Apollo 24/7,Telemedicine,"Omnichannel arm of Apollo Hospitals (consults, pharmacy, diagnostics)",Captive (Apollo HealthCo),Corporate-backed,"Apollo Hospitals, Advent International",Largest physical hospital + pharmacy network feeding digital funnel
MediBuddy,Telemedicine,Enterprise B2B2C teleconsult + diagnostics + medicine,~$160M,Series C,"Quadria Capital, Lightrock",Corporate distribution; low CAC via enterprise accounts
mfine,Telemedicine,Hospital-partnered specialist consults,~$97M,Series C,"Prime Venture Partners, SBI Investment",Quality-over-scale; real-time top-hospital doctor access
Orange Health,Diagnostics,"On-demand at-home diagnostics, ~6-hour reports",~$35M+,Series B,"Accel, Bertelsmann, General Catalyst",Speed + reliability; tech-built logistics; metro density
Redcliffe Labs,Diagnostics,"Full-stack diagnostics chain, pan-India",~$100M+,Series C,"LeapFrog, Schroders Capital",Owned-lab network + affordability in Tier 2/3
Tata 1mg (Labs),Diagnostics,Diagnostics bundled into e-pharmacy super-app,Part of ~$240M,Corporate-owned,Tata Digital,Cross-sell off pharmacy traffic + Tata balance sheet
Thyrocare,Diagnostics,"Asset-light preventive testing, franchise labs",Public (acq. by PharmEasy),Acquired,API Holdings / PharmEasy,National processing scale; low cost per test
Tata 1mg,Pharmacy,"E-pharmacy, diagnostics, e-consults; ABHA-integrated",~$240M (then Tata-owned),Corporate-owned,Tata Digital,E-pharmacy leader (~31% share); vertical integration + corporate parent
PharmEasy (API Holdings),Pharmacy,E-pharmacy + diagnostics + B2B distribution,Well over $1B across rounds,Late-stage,"Prosus, TPG, Temasek, B Capital","Roll-up scale (MedLife, Thyrocare); cautionary down-round case"
Netmeds,Pharmacy,"E-pharmacy across 20,000+ pin codes",Acq. ~$72M (2020),Acquired,Reliance Retail Ventures,Reliance + JioMart distribution
Apollo Pharmacy,Pharmacy,Largest offline + online pharmacy chain,Captive,Corporate-backed,Apollo Hospitals,Omnichannel density no pureplay can match
Qure.ai,AI Healthcare,"Radiology AI (chest X-ray, head CT) for TB, stroke, lung nodules",~$125M,Series D,"Novo Holdings, HealthQuad, MassMutual Ventures, Peak XV",Regulatory clearances; global deployments; IPO-track
Innovaccer,AI Healthcare,Healthcare data platform / EMR intelligence,~$675M (incl. $275M Series F),Series F (Unicorn),"Kleiner Perkins, Tiger Global, B Capital",Data-aggregation moat; AI co-pilots for care teams
SigTuple,AI Healthcare,AI microscopy (AI100) — blood/urine slide analysis,~$40M,Series C,"Accel, IDG, pi Ventures",FDA 510(k) cleared; robotics + vision; patent stack
